bula,cfi,rmsea,srmr
1,0.8338193293457019,0.04566509938291786,0.08424384106100287
2,1,0,0.08735647989610462
3,0.9027062256005338,0.03641950373796028,0.06036963791865429
4,0.9027062256005338,0.03641950373796028,0.06036963791865429
5,0.9186518619569284,0.03321056453024348,0.05364933551763272
6,0.9162390382301066,0.035200437823690645,0.06229584629064778
7,0.8974990221785658,0.03595188377915761,0.06319428241620859
8,0.9224152276414588,0.03380257213843019,0.05584331375170111
9,0.9231514802186488,0.032895270100196716,0.05524805231827681
10,0.9231514802186488,0.032895270100196716,0.05524805231827681
11,0.9212924927961554,0.034898268078362965,0.06891987128834075
12,0.8971595278225988,0.038547556214406614,0.06639025507994492
13,0.8804683326005317,0.04008463975809589,0.07093450051095758
14,0.9174352454275573,0.035049994311305045,0.062343328643041575
15,0.9085491015858103,0.03638053965873202,0.06681316111728912
16,0.8949070256874657,0.04005478300222481,0.0679041918300381
