bula,cfi,rmsea,srmr
1,0.839504185862393,0.0242108454850455,0.0788949105471065
2,0.779123584507668,0.0319352229198464,0.0888122353522155
3,0.896791931387327,0.0211938535816221,0.0543274864167799
4,0.896791931387327,0.0211938535816221,0.0543274864167799
5,0.9135596479307,0.0196810889274108,0.0474799031741525
6,0.913698675104653,0.0201146577538467,0.0543806512743868
7,0.897481027009678,0.0216909199864079,0.0577936539386802
8,0.922392971377691,0.019159632853418,0.0515862248220785
9,0.91646978008921,0.0197065394943723,0.0477543689628725
10,0.91646978008921,0.0197065394943723,0.0477543689628725
11,0.911917385795155,0.0213347577200904,0.0576450035820409
12,0.902522457814348,0.022074861686318,0.0577253448832724
13,0.859758248856539,0.0271595200329725,0.0742510421997375
14,0.907331751871154,0.0234027999708674,0.0544397048561869
15,0.898534913182809,0.0238119287091548,0.0642778870731791
16,0.900063328107202,0.0239020681841701,0.0578069063096956
