bula,cfi,rmsea,srmr
1,0.820326563745682,0.0254695132090208,0.0805698917543022
2,0.753101743659222,0.0335702749316943,0.0893339993886882
3,0.870664915791965,0.0235891279666146,0.0580477166478662
4,0.870664915791965,0.0235891279666146,0.0580477166478662
5,0.890848151318977,0.0219890777575812,0.0518315261683816
6,0.894314080775555,0.0221316140321027,0.0573886626273885
7,0.8731767781486,0.0239869951276251,0.0660435753430848
8,0.898530958056849,0.0217823153803165,0.0575569217031513
9,0.900659873856346,0.0213673919390815,0.0512435053106447
10,0.900659873856346,0.0213673919390815,0.0512435053106447
11,0.895238642270905,0.023133629924786,0.0598193892218571
12,0.879890747525941,0.0243632120430007,0.0617235366035555
13,0.826122280487216,0.0300681011549319,0.0761851481350772
14,0.884416646684745,0.0259866678983587,0.0600323050145951
15,0.867176614217509,0.0270878252071606,0.0685348000152117
16,0.874850060840357,0.0265943247803934,0.061247631467664
