bula,cfi,rmsea,srmr
1,0.967787438809871,0.0179482906330242,0.0556394495565896
2,0.950283171834812,0.0264613519736014,0.0704766844620064
3,0.994009711268986,0.0092627080682397,0.0269290513448198
4,0.930900807095113,0.031166868550089,0.0969233233383594
5,0.99363375228291,0.0097576194149473,0.0225389301689729
6,0.995300232670363,0.00864133294306003,0.0298644697036443
7,0.993225355928485,0.00983386193254299,0.032171241747574
8,0.99111708630016,0.0116759318084717,0.0301946461061247
9,0.990162021164411,0.0126474265493703,0.025050411382503
10,0.925279076441522,0.031253012884762,0.0926795436708713
11,0.99048793459309,0.0135026347284097,0.0396695617658477
12,0.990228228385158,0.0131915713264162,0.0362501237762348
13,0.99594555092242,0.008459352466375,0.0449478662397949
14,0.994362160058908,0.0113017899000309,0.0277746203311074
15,1,0,0.0321625083540408
16,0.985990917485364,0.0172994326424135,0.0351846184153442
