stateName,Model,Type,Traits,agr_rt.cl,agr_rt.cl.lb,agr_rt.cl.ub,cns_rt.cl,cns_rt.cl.lb,cns_rt.cl.ub,ext_rt.cl,ext_rt.cl.lb,ext_rt.cl.ub,neu_rt.cl,neu_rt.cl.lb,neu_rt.cl.ub,opn_rt.cl,opn_rt.cl.lb,opn_rt.cl.ub,agr,cns,ext,neu,opn
Mecklenburg-Western Pomerania,CLPM,Latent,All,0.114507205065655,0.00714162188412334,0.221872788247187,-0.0489579604518487,-0.152861808168635,0.0549458872649378,-0.0233870702833495,-0.13042785758313,0.0836537170164309,0.0125007581718177,-0.0414695202173641,0.0664710365609996,0.0418581365810448,-0.0726968351374574,0.156413108299547,No,No,No,No,No
Saxony,CLPM,Latent,All,0.0395207195112459,0.00751877859023104,0.0715226604322608,-0.0376999104724137,-0.0734038359362714,-0.00199598500855599,-0.00547663996598452,-0.0437122151873692,0.0327589352554001,-0.00808921310614075,-0.0322217406477502,0.0160433144354687,0.0170367727482732,-0.0232067901224743,0.0572803356190206,No,No,No,No,No
Saxony-Anhalt,CLPM,Latent,All,0.0165160887327634,-0.0253032317861464,0.0583354092516732,-0.00839306186297898,-0.0515573126582608,0.0347711889323028,-0.041236888720437,-0.0894070946088731,0.00693331716799919,-0.016828958949998,-0.047125777812217703,0.0134678599122216,0.0483158984131487,-0.00978753672755231,0.10641933355385,No,No,No,No,No
Thuringia,CLPM,Latent,All,0.0114807107771141,-0.0379612112113026,0.0609226327655307,0.0062522427261422,-0.0394255224770685,0.0519300079293529,-0.0668061122830579,-0.127714658390182,-0.00589756617593419,-0.0140775325267554,-0.0439432013778763,0.0157881363243655,0.0563154298608489,-0.0139905852371554,0.126621444958853,No,No,No,No,No
Schleswig-Holstein,RICLPM,Latent,All,0.0200144035661463,-0.221656169034933,0.261684976167225,-0.230457114210414,-0.42848198980883,-0.0324322386119981,0.53139983141743,-0.00677720085719783,1.06957686369206,0.244372895677177,0.0881247360783003,0.400621055276053,-0.379914418922898,-0.744656798127738,-0.0151720397180577,Yes,Yes,Yes,Yes,Yes
Hamburg,RICLPM,Latent,All,-0.207940704056342,-0.661483088241634,0.24560168012895,-0.0960011482986955,-0.669156669025246,0.477154372427855,0.0608948057874402,-1.34317990415154,1.46496951572642,0.168019926845247,-0.469056978736522,0.805096832427016,0.260245303920073,-1.49723250990863,2.01772311774877,Yes,Yes,Yes,Yes,Yes
Lower Saxony,RICLPM,Latent,All,0.0317608311268181,-0.168300382865848,0.231822045119484,-0.0214581946207249,-0.219218715484659,0.176302326243209,-0.0368227385725491,-0.207025690929342,0.133380213784243,0.0614690909419792,-0.0649791260307924,0.187917307914751,-5.8505723448467e-4,-0.180113748649032,0.178943634180063,No,No,No,No,No
Bremen,RICLPM,Latent,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105005246796355,NA,NA,1.7123916737861,NA,NA,Yes,Yes,Yes,Yes,Yes
North Rhine-Westphalia,RICLPM,Latent,All,0.107497883572247,-0.0239660928550159,0.238961859999511,-0.138605551427159,-0.263270843525172,-0.0139402593291465,0.0522601029317654,-0.0739310215326581,0.178451227396189,0.090900010259504,0.0086219191640544,0.173178101354954,-0.0492475412356549,-0.177982363824271,0.0794872813529617,No,No,No,No,No
Hesse,RICLPM,Latent,All,0.0280365089277572,-0.836220433400605,0.892293451256119,-0.0138494597592629,-0.912209804604095,0.884510885085569,0.19653345502069,-1.24653915611303,1.63960606615441,0.169596197065007,-0.384802736329907,0.723995130459921,-0.271573787328265,-1.76310209494147,1.21995452028494,No,No,No,No,No
Rhineland-Palatinate,RICLPM,Latent,All,0.0319654879927903,-0.18443138230987,0.24836235829545,0.0628865514094217,-0.143416788281616,0.26918989110046,-0.260350008249961,-0.437900601650773,-0.0827994148491501,-0.0681899099588287,-0.174366515789635,0.0379866958719776,0.312041254105982,0.148616100284176,0.475466407927789,No,No,No,No,No
Baden-Wuerttemberg,RICLPM,Latent,All,-0.00669708506348464,-0.169149878642065,0.155755708515095,0.0468887741939164,-0.0882534074617037,0.182030955849536,-0.0870750567658076,-0.257060615480503,0.0829105019488879,-0.0481592939854728,-0.172996660950827,0.0766780729798812,0.0729945407007482,-0.0824989760716301,0.228488057473127,No,No,No,No,No
Bavaria,RICLPM,Latent,All,0.118401480484865,-0.0673548165274251,0.304157777497154,-0.0965777267746298,-0.259994648734322,0.0668391951850624,-0.151387191249213,-0.333515780337205,0.0307413978387797,-0.0319088582311408,-0.156467881977275,0.0926501655149938,0.047774763429133,-0.126967613812738,0.222517140671004,No,No,No,No,No
Berlin,RICLPM,Latent,All,0.114345360706339,-0.186904248756035,0.415594970168713,-0.270230319815255,-0.510358228757269,-0.0301024108732404,0.121504645655242,-0.215741389180961,0.458750680491445,0.109414616776799,-0.0913230645305352,0.310152298084134,-0.0875640211899433,-0.389427972198222,0.214299929818335,Yes,Yes,Yes,Yes,Yes
Brandenburg,RICLPM,Latent,All,0.163369899356864,-0.298331628454959,0.625071427168688,-0.175650804945737,-0.585807811514833,0.234506201623359,-0.31220653371323,-0.682627965485241,0.0582148980587811,-0.174561391139127,-0.397577475592923,0.0484546933146693,0.290675897574464,-0.0345561509264193,0.615907946075346,No,No,No,No,No
Mecklenburg-Western Pomerania,RICLPM,Latent,All,-0.07461703013,-0.597362615722983,0.448128555462983,-0.0464975341406262,-0.629954826527575,0.536959758246322,0.283042713926834,-0.182674768436042,0.74876019628971,0.00609683296508899,-0.228366576010308,0.240560241940486,-0.0465208191655427,-0.449439344068134,0.356397705737049,Yes,Yes,Yes,Yes,Yes
Saxony,RICLPM,Latent,All,0.0877361894287684,-0.0504058046232274,0.225878183480764,-0.123014731470403,-0.269609828464221,0.0235803655234161,0.00568366468846851,-0.237617605093374,0.248984934470311,-0.082384645314192,-0.196164472572844,0.0313951819444603,0.00683074773550651,-0.22411982730804,0.237781322779053,No,No,No,No,No
Saxony-Anhalt,RICLPM,Latent,All,0.174666144502625,-0.0799675988455481,0.429299887850797,-0.071644614989629,-0.339836197618434,0.196546967639176,-0.0505709540580529,-0.321361707834033,0.220219799717928,0.0650448127765817,-0.0977044403141142,0.227794065867278,-0.0644015744574865,-0.31230538389101,0.183502234976037,No,No,No,No,No
Thuringia,RICLPM,Latent,All,0.0885228075818069,-0.31725682863893,0.494302443802544,-0.139816317545454,-0.450406829888361,0.170774194797452,-0.29400806305652,-0.847076098152349,0.259059972039308,-0.215118058483352,-0.501964250916137,0.0717281339494324,0.413010175392246,-0.284196798105846,1.11021714889034,No,No,No,No,No
Schleswig-Holstein,CLPM,Observed,All,0.0951997908752583,0.0469667429374232,0.143432838813093,-0.0028961313324181,-0.0599740430360643,0.0541817803712281,0.0393923000437694,-0.00727275047400888,0.0860573505615476,0.094183982613195,0.0409357337264849,0.147432231499905,-0.00160296617898842,-0.0498145966844696,0.0466086643264927,No,No,No,No,No
Hamburg,CLPM,Observed,All,0.0151477244881823,-0.0382595235024448,0.0685549724788095,0.0243064611124656,-0.0295188854295995,0.0781318076545308,0.0110602452502914,-0.0504192120487886,0.0725397025493714,0.0253164051867967,-0.0218447474611051,0.0724775578346985,-0.0285363681244659,-0.0881607101895204,0.0310879739405887,No,No,No,No,No
Lower Saxony,CLPM,Observed,All,0.0162256918687627,-0.00641963844684315,0.0388710221843686,0.0178962145458263,-0.00543461973937501,0.0412270488310275,-0.028127072110294,-0.0521081592193886,-0.00414598500119947,0.0138840824812628,-0.0085933278121263,0.0363614927746519,0.0291815195934214,0.00387878774800762,0.0544842514388352,No,No,No,No,No
Bremen,CLPM,Observed,All,-9.6714706808062e-4,-0.102423932911889,0.100489638775728,-0.00518275383209955,-0.0967362369021568,0.0863707292379577,-0.0306035976866864,-0.144069360125382,0.0828621647520089,-0.0107373712129065,-0.100878106462153,0.0794033640363401,0.0900284104839776,-0.00713276852196087,0.187189589489916,No,No,No,No,No
North Rhine-Westphalia,CLPM,Observed,All,0.0290588772367967,0.0133753758102353,0.0447423786633581,0.0136486965878998,-0.00252361508564526,0.0298210082614448,0.00231567382977451,-0.0136396520454673,0.0182709997050163,0.0171227986945905,0.0018703904682548,0.0323752069209261,-0.00954175240982732,-0.025345544186372,0.00626203936671729,No,No,No,No,No
Hesse,CLPM,Observed,All,0.01276557482839,-0.0154679586627681,0.0409991083195482,0.0237810366343548,-0.00755295697948538,0.0551150302481949,-0.0169251470932596,-0.0449416828492592,0.0110913886627399,0.0197046022404288,-0.00663774986933522,0.0460469543501928,-0.00799203392561198,-0.0375606461083486,0.0215765782571247,No,No,No,No,No
Rhineland-Palatinate,CLPM,Observed,All,0.0415842836363015,0.00607952615317073,0.0770890411194323,-0.00174070097178657,-0.0402626406734844,0.0367812387299112,-0.0364405490649733,-0.0733874864023058,5.0638827235921e-4,0.0108425087557062,-0.0243332197564276,0.0460182372678401,0.0310401900207608,-0.00464979718327999,0.0667301772248016,No,No,No,No,No
Baden-Wuerttemberg,CLPM,Observed,All,0.0238287657602645,0.00316207840241125,0.0444954531181178,0.0220274183144494,0.0018521424260205001,0.0422026942028782,-0.00793139018948147,-0.0284467668151197,0.0125839864361568,-0.00168401402347529,-0.0202770913942582,0.0169090633473076,-0.015899354834045,-0.0372283124222705,0.0054296027541806,No,No,No,No,No
Bavaria,CLPM,Observed,All,0.0184468004548408,0.00139316807771691,0.0355004328319647,0.0208911991828041,0.0037233632336146,0.0380590351319936,-0.0292661519024914,-0.0462913358366816,-0.0122409679683011,-0.00356064967279879,-0.0186159983206014,0.0114946989750038,-0.0187715452997629,-0.036468823264374,-0.00107426733515181,No,No,No,No,No
Saarland,CLPM,Observed,All,0.0904483588990562,-6.7734395250252e-4,0.181574061750615,0.0653423061813157,-0.0292867694611647,0.159971381823796,-0.0426415366653079,-0.137762678806106,0.0524796054754898,-0.00847456605776965,-0.0986467176470817,0.0816975855315424,0.0633675581071218,-0.0205800553273849,0.147315171541629,No,No,No,No,No
Berlin,CLPM,Observed,All,0.0130411728064816,-0.0220240490300444,0.0481063946430077,-0.0227327893965587,-0.0571094256727766,0.0116438468796592,0.00539114463838103,-0.0273131955863133,0.0380954848630754,0.0288354690917374,-0.00426488265734177,0.0619358208408165,-0.00266180935123508,-0.0361964810408948,0.0308728623384246,No,No,No,No,No
Brandenburg,CLPM,Observed,All,0.046279184322282,0.017500422701652,0.075057945942912,-0.0225938997491433,-0.0556301703817477,0.0104423708834612,0.00320064542246804,-0.034139536948716,0.0405408277936521,-0.00239982517443176,-0.0356699846294316,0.030870334280568,0.0265284013315708,-0.0126740161281503,0.065730818791292,No,No,No,No,No
