bula,cfi,rmsea,srmr
1,0.8427384176193222,0.04478837901391853,0.0783725481850163
2,1,0,0.0848433270799804
3,0.9073675142521119,0.03582886309527026,0.05298127243802633
4,0.9073675142521119,0.03582886309527026,0.05298127243802633
5,0.9242012008771943,0.03232164699158708,0.04395259816196812
6,0.921406471794599,0.0343779915792776,0.05360229993116475
7,0.901816149591712,0.03547623697591629,0.058002978163264184
8,0.9280169593113401,0.03282739854415772,0.04898699385642033
9,0.9286552931132376,0.03195629730128933,0.046149946278830324
10,0.9286552931132376,0.03195629730128933,0.046149946278830324
11,0.9272612397335526,0.033825062950758336,0.05820603047654994
12,0.9020498596420045,0.037929509050688676,0.05698679297598932
13,0.8842351783313317,0.039772662982221964,0.07006669008194434
14,0.9220523089307603,0.03433618995180504,0.055413846267411734
15,0.9120600106540522,0.035968988392330606,0.061637719854550355
16,0.9010651516662892,0.039183394641665606,0.05821414909310268
