bula,cfi,rmsea,srmr
1,0.907936550809109,0.0287856036144501,0.0783119774940726
2,0.849816933169855,0.0436306880429711,0.0908594892014253
3,0.904381228992688,0.0351080681048732,0.0746657776238108
4,0.80349316043237,0.0498616644919322,0.124598426850151
5,0.926804151477678,0.0313882127629446,0.0666755047902856
6,0.924958246591554,0.032757843274205,0.0664495113031996
7,0.910872190264505,0.0338383156092407,0.0690098822341964
8,0.924699637011051,0.03225028954188,0.0655315321321912
9,0.930098840211627,0.0319825192110413,0.0674467150756534
10,0.867650892766815,0.039459587248528,0.110930200226334
11,0.913317062404967,0.0386695546524178,0.0825099596290218
12,0.905956582864656,0.0388235577579063,0.0762870945867072
13,0.913546368681316,0.037058178601698,0.0805877677645319
14,0.926592994229109,0.0386884087959176,0.0726744459125936
15,0.923355316749661,0.0375709647389117,0.0745420621132173
16,0.920935150311331,0.0389888111616073,0.0730217198924873
