trait,effect,model,type,variables,est,se,lb,ub,mod.est,mod.se,mod.lb,mod.ub
cns,rt.cl,CLPM,Latent,All,-0.015118299317425886,0.0054220773084604325,-0.025745375563400206,-0.004491223071451566,0.015613584772901179,0.005077242883148134,0.005662371581168531,0.025564797964633824
cns,rt.cl,CLPM,Latent,Single,0.00790350397095329,0.005312602536438484,-0.0025090056646422786,0.01831601360654886,0.005658375019508317,0.005037136838008933,-0.004214231768189159,0.015530981807205793
cns,rt.cl,CLPM,Observed,All,0.005856550379934603,0.0052584067741551395,-0.004449737513470916,0.01616283827334012,0.011422683119601852,0.004980620382717577,0.0016608465488093024,0.0211845196903944
cns,rt.cl,CLPM,Observed,Single,0.014261317782590923,0.005258095262426874,0.003955640440953569,0.024566995124228278,0.007451574024750843,0.004980564771598304,-0.0023101535502507934,0.017213301599752477
cns,rt.cl,RICLPM,Latent,All,-0.08115851800117943,0.043854677046083014,-0.16711210556513753,0.00479506956277867,0.02177324120279456,0.0418702130226529,-0.06029086834662506,0.10383735075221417
cns,rt.cl,RICLPM,Latent,Single,-0.022962851443348017,0.01967370555053509,-0.061522605764842545,0.01559690287814651,0.021284813823742754,0.019576286056264963,-0.017084001797590218,0.059653629445075726
cns,rt.cl,RICLPM,Observed,All,-0.010866625286516189,0.009797674946142993,-0.03006971531318687,0.00833646474015449,0.01973233978491635,0.009737311016503339,6.475608863047017e-4,0.038817118683527996
cns,rt.cl,RICLPM,Observed,Single,-0.009291952462243788,0.01433966466738928,-0.037397178760708305,0.01881327383622073,0.017894240468785908,0.014470657537443414,-0.010467727137216248,0.046256208074788065
cns,tr.cl,CLPM,Latent,All,-0.0028867586845065306,0.005365429358094151,-0.013402806987964927,0.007629289618951865,-0.0036795376218777083,0.00501991746095719,-0.013518395050717554,0.006159319806962137
cns,tr.cl,CLPM,Latent,Single,-0.0025197439294220437,0.005259027910189881,-0.012827249227085157,0.0077877613682410685,-0.002972740262157131,0.0049813682200372375,-0.012736042567162511,0.006790562042848249
cns,tr.cl,CLPM,Observed,All,0.016652305772684103,0.00525817887516727,0.006346464553086923,0.026958146992281284,0.002225769609936738,0.004981265082342947,-0.0075373305489023846,0.011988869768775862
cns,tr.cl,CLPM,Observed,Single,0.014508176126109393,0.005258429102802268,0.004201844469359679,0.024814507782859107,0.002177312992016299,0.004981333825145852,-0.007585921900240713,0.01194054788427331
cns,tr.cl,RICLPM,Latent,All,-0.027566576833901547,0.0283560310272693,-0.08314337639184968,0.028010222724046588,0.020127361117136165,0.02701264442160302,-0.03281644907639254,0.07307117131066487
cns,tr.cl,RICLPM,Latent,Single,-0.029402779559738093,0.02536584021676331,-0.07911891282219186,0.020313353702715663,0.04229016980302038,0.025302421510636636,-0.007301665079478964,0.09188200468551973
cns,tr.cl,RICLPM,Observed,All,-0.010957412706616829,0.020497936221557534,-0.05113262945826863,0.029217804045034976,0.026708143799955557,0.02089631553095337,-0.014247882050298019,0.06766416965020913
cns,tr.cl,RICLPM,Observed,Single,-0.016564543488272316,0.02304074535736211,-0.06172357456566051,0.028594487589115872,0.026479105810855087,0.023549092017981887,-0.01967626641300907,0.07263447803471924
ext,rt.cl,CLPM,Latent,All,0.003151287436423039,0.01239014815948432,-0.021132956719281462,0.02743553159212754,-0.002154611586791773,0.011874008007922189,-0.025427239634459455,0.02111801646087591
ext,rt.cl,CLPM,Latent,Single,0.006649922051389725,0.0055310653739761104,-0.004190766877740015,0.017490610980519464,-0.009740273438353729,0.005266094670075935,-0.020061629330880897,5.810824541734403e-4
ext,rt.cl,CLPM,Observed,All,-0.007985196208969595,0.005325082976404866,-0.018422167057410486,0.0024517746394712957,-0.006843675917298479,0.0050497102567495485,-0.016740926152890103,0.003053574318293145
ext,rt.cl,CLPM,Observed,Single,-1.5369465393064868e-4,0.005259144963615006,-0.010461429372091272,0.010154040064229975,-0.009287940135580751,0.004980788963784881,-0.019050107119193693,4.742268480321891e-4
ext,rt.cl,RICLPM,Latent,All,0.004167313487548665,0.09759763011564793,-0.187120526515583,0.19545515349068035,-0.04669391126362973,0.09329285261153186,-0.22954454239723568,0.1361567198699762
ext,rt.cl,RICLPM,Latent,Single,-0.025639553062276853,0.03583611676466482,-0.09587705126679194,0.04459794514223823,-0.04316352011926201,0.03641232938858819,-0.1145303743141042,0.0282033340755802
ext,rt.cl,RICLPM,Observed,All,-0.017721358033339765,0.014195827042517404,-0.04554466776743363,0.010101951700754095,-0.021076970772886717,0.014324744692695963,-0.04915295445830209,0.006999012912528652
ext,rt.cl,RICLPM,Observed,Single,-0.01339867199157048,0.012246522861905515,-0.03740141573675168,0.010604071753610719,-0.015666492151806925,0.012292840494812848,-0.03976001678933564,0.00842703248572179
ext,tr.cl,CLPM,Latent,All,0.004238512117952817,0.005366260258616669,-0.0062791647206044505,0.014756188956510083,-8.839797423384278e-4,0.005021153538488014,-0.010725259838620787,0.00895730035394393
ext,tr.cl,CLPM,Latent,Single,0.005630138757511552,0.00525954051059542,-0.004678371218484876,0.01593864873350798,-0.0014257371796348303,0.004982075172886589,-0.011190425086763708,0.008338950727494045
