state,agr.r1,agr.r1.lb,agr.r1.ub,agr.r2,agr.r2.lb,agr.r2.ub,agr.rt.cl,agr.rt.cl.lb,agr.rt.cl.ub,agr.tr.cl,agr.tr.cl.lb,agr.tr.cl.ub,agr.st,agr.st.lb,agr.st.ub,agr.ri,agr.ri.lb,agr.ri.ub,agr.samplesize,cns.r1,cns.r1.lb,cns.r1.ub,cns.r2,cns.r2.lb,cns.r2.ub,cns.rt.cl,cns.rt.cl.lb,cns.rt.cl.ub,cns.tr.cl,cns.tr.cl.lb,cns.tr.cl.ub,cns.st,cns.st.lb,cns.st.ub,cns.ri,cns.ri.lb,cns.ri.ub,cns.samplesize,ext.r1,ext.r1.lb,ext.r1.ub,ext.r2,ext.r2.lb,ext.r2.ub,ext.rt.cl,ext.rt.cl.lb,ext.rt.cl.ub,ext.tr.cl,ext.tr.cl.lb,ext.tr.cl.ub,ext.st,ext.st.lb,ext.st.ub,ext.ri,ext.ri.lb,ext.ri.ub,ext.samplesize,neu.r1,neu.r1.lb,neu.r1.ub,neu.r2,neu.r2.lb,neu.r2.ub,neu.rt.cl,neu.rt.cl.lb,neu.rt.cl.ub,neu.tr.cl,neu.tr.cl.lb,neu.tr.cl.ub,neu.st,neu.st.lb,neu.st.ub,neu.ri,neu.ri.lb,neu.ri.ub,neu.samplesize,opn.r1,opn.r1.lb,opn.r1.ub,opn.r2,opn.r2.lb,opn.r2.ub,opn.rt.cl,opn.rt.cl.lb,opn.rt.cl.ub,opn.tr.cl,opn.tr.cl.lb,opn.tr.cl.ub,opn.st,opn.st.lb,opn.st.ub,opn.ri,opn.ri.lb,opn.ri.ub,opn.samplesize
1,-0.1409477306086538,-0.4066135675141528,0.12471810629684521,-0.07393198283494339,-0.5683408865698499,0.42047692089996314,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34754418114209684,0.045207102980036884,0.6498812593041567,1605,0.08514104961149704,-0.16795318740771437,0.33823528663070845,-0.20039655893218708,-0.3443923718741844,-0.05640074599018973,-0.18710668930118998,-0.30023311790831064,-0.07398026069406927,-0.22638501417442766,-0.3994696748834425,-0.05330035346541284,0.23859009249452354,0.04131551731995337,0.43586466766909365,0.5992250986643956,-0.20536369479016148,1.4038138921189525,1605,-0.21878006849399917,-0.5218790293937507,0.08431889240575247,-0.07563070069277864,-0.25319003183501043,0.10192863044945319,0.10933313389408497,-0.11193704003368313,0.33060330782185304,0.03175323288146246,-0.1979704340688427,0.26147689983176764,0.43986463832840966,-0.05873418208756265,0.938463458744382,0.12775719266154933,-0.31984237420898914,0.5753567595320879,1605,-0.04601019964591722,-0.3549683038363567,0.2629479045445222,0.18126214819006062,0.0252329639418776,0.3372913324382436,0.26578374595016113,0.1449145436379969,0.3866529482623254,0.2960762610419267,0.07561753265368283,0.5165349894301705,0.19683911239437216,-0.06975285950273605,0.46343108429148033,-0.39928080255455906,-1.1847207101372061,0.3861591050280881,1605,-0.09453381469506239,-0.4189770221054863,0.22990939271536154,-0.10829782884194408,-0.38121618257125717,0.16462052488736903,-0.09988494965269878,-0.2837471024933638,0.08397720318796628,-0.255663591261598,-0.611411790264072,0.10008460774087606,0.17837382071340693,-0.3470911158613756,0.7038387572881895,0.36867127315957954,-0.4907222258188279,1.228064772137987,1605
2,-0.18848487923785773,-0.3621310594480668,-0.014838699027648644,-0.12233751604106248,-0.3592327771797077,0.11455774509758275,-0.10603297578748554,-0.4143107692336705,0.20224481765869942,0.006292022950201405,-0.16262841721908877,0.1752124631194916,0.4383802094176913,-0.3967804630102656,1.2735408818456482,0.11135376155621651,-0.24541281576365087,0.4681203388760839,677,-0.2929549693748972,-0.5859766678068301,6.672905703580811e-5,-0.04000487012214828,-0.3007219357777823,0.22071219553348573,0.028222536762996367,-0.20411599777645373,0.26056107130244643,0.05834202146204343,-0.15592860547694493,0.2726126484010318,-0.006175572483211491,-1.1875980595534137,1.175246914586991,-0.09121247182523595,-0.2480358626458109,0.065610918995339,677,-0.3038584611933467,-0.7556547180624902,0.1479377956757968,0.03842523574696254,-0.23996006150104415,0.31681053299496925,0.11257623801008428,-0.25139416955629795,0.47654664557646653,0.154276103354984,-0.016267588575401087,0.32481979528536914,0.06764591551100216,-0.2620519552438184,0.39734378626582273,-0.09008430019292128,-0.2578095477847312,0.07764094739888865,677,0.04875826864907387,-0.13377890945581214,0.23129544675395988,0.01820431491061735,-0.2556822028937667,0.2920908327150014,0.1535094608193137,-0.23063845176448583,0.5376573734031131,-0.04194931183957972,-0.24188290193659087,0.15798427825743144,0.21079008923659268,-0.3921616512404261,0.8137418297136114,-0.03549148586113083,-0.1921363449069785,0.12115337318471686,677,-0.028518378869745925,-0.4104342581918933,0.35339750045240137,0.023644128381567618,-0.20103924069433962,0.24832749745747484,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04219303282592838,-0.1688446048450537,0.08445853919319696,677
3,-0.03092489886640579,-0.16611823038010776,0.10426843264729618,1.0342509125744928e-4,-0.0894846529268034,0.0896915031093183,0.02606067952140218,-0.07124593563984577,0.12336729468265012,-0.020482376943522698,-0.13242274231693585,0.09145798842989046,0.07648454284775635,-0.2447812667244619,0.39775035241997464,0.12453322409664509,0.054574302239246225,0.19449214595404396,4459,-0.0691042890329731,-0.18947710029210144,0.051268522226155244,0.003959204708136801,-0.06916486320845792,0.07708327262473154,-0.020950585261877857,-0.11388876765137204,0.07198759712761632,-0.04374315071114532,-0.1309323333273315,0.043446031905040865,0.08240427358800514,-0.12004260570068405,0.2848511528766943,0.07433242145822873,0.013270237419535535,0.13539460549692192,4459,-0.04801458042678065,-0.17833287489070251,0.08230371403714123,0.05631075904278369,-0.027644785576203392,0.14026630366177076,-0.034698901492016765,-0.12825319046200231,0.05885538747796878,-0.011011107037916553,-0.11408158045700513,0.09205936638117203,0.09538203022578076,-0.14571778791894469,0.33648184837050626,0.0295894701675758,-0.031284334665935026,0.09046327500108663,4459,0.02906766755962396,-0.1277965909281267,0.1859319260473746,0.05349097157693786,-0.039311138668850935,0.14629308182272666,0.06999350001752307,-0.044678915679873026,0.18466591571491917,0.0745858906058068,-0.04625469323442606,0.19542647444603967,0.18166596510880748,-0.1905088343395286,0.5538407645571436,-0.04164949900898067,-0.11101676949863307,0.027717771480671727,4459,-0.036598128121621165,-0.1886430649775927,0.11544680873435037,0.041135900446537074,-0.05010624700508658,0.1323780478981607,-0.025814128316030405,-0.1270210735632447,0.07539281693118391,-0.10175856287126796,-0.22590485334758134,0.022387727605045427,0.04767819544046991,-0.22203574356395678,0.3173921344448966,0.016636845341297564,-0.0473452912765519,0.08061898195914702,4459
4,0.14983081901753767,-0.11662232574708245,0.4162839637821578,0.05944629696026499,-0.25555388729845335,0.37444648121898333,0.14055475791585176,-0.12531347364269,0.4064229894743935,0.1472509266930986,-0.17685500012147792,0.47135685350767514,-0.14906741324578537,-0.9977718135767126,0.6996369870851419,-0.01100721068750933,-0.114270875820514,0.09225645444549534,336,9.3073271384508e-4,-0.6164463972238569,0.6183078626515469,-0.049333455466676064,-0.5690270840152777,0.47036017308192557,-0.19996047787849347,-0.7301326379586403,0.3302116822016533,-0.30027378554829953,-0.9283775058072282,0.3278299347106291,-0.11438826492606335,-0.5954042586725677,0.36662772882044103,0.02956470640974247,-0.19489538806125664,0.2540248008807416,336,-0.5485925249871755,-1.1404046416274878,0.043219591653136824,-0.13489258503735363,-0.4132780687176908,0.1434928986429835,-0.5105556771492376,-1.1188158881406511,0.09770453384217609,-0.1566082442603466,-0.47001008749879597,0.15679359897810274,0.5859403563820434,0.21870560531167024,0.9531751074524166,0.5968025403764482,-2.095836221282985,3.2894413020358817,336,0.13681118510008866,-0.38482538951225437,0.6584477597124316,0.14839883728366968,-0.19711367781613393,0.4939113523834732,-0.12370692161035864,-0.497517068095908,0.2501032248751907,0.2222693275746124,-0.14652009691039178,0.5910587520596166,-0.3686651771665535,-1.4027073722211794,0.6653770178880724,-0.002548883590389932,-0.14664599919628193,0.14154823201550207,336,0.9994677382237904,0.9990051524941942,0.9999303239533867,0.26626639484910175,-0.2122822539447622,0.7448150436429657,0.9491601717324163,0.6493943744146736,1.2489259690501588,0.4862192170946353,0.11382841944887984,0.8586100147403908,0.5136401801793143,0.14120219579489676,0.8860781645637319,-1.0021779597912364,-1.0027961212227574,-1.0015597983597153,336
5,0.05694639199662932,-0.03836003712449686,0.1522528211177555,0.024144573755186305,-0.028601347574092082,0.07689049508446469,0.023724365915580074,-0.04853960202471728,0.09598833385587742,0.012435595500547389,-0.04543465573628345,0.07030584673737822,0.41225161255645304,0.18031660352825565,0.6441866215846505,0.18428537874812811,0.12313344209788671,0.24543731539836952,9968,-0.10682561888450129,-0.18929835825068317,-0.02435287951831941,0.03613097860907108,-0.014587849464110902,0.08684980668225306,-0.05042084340861744,-0.12033524361481052,0.01949355679757563,-0.026823873235503597,-0.07949100436621773,0.025843257895210525,0.4435149623941542,0.2813616573742727,0.6056682674140358,0.1140869921430146,0.04303565876292832,0.1851383255231009,9968,-0.07921000799623554,-0.16112849792164374,0.002708481929172682,0.039189045405385946,-0.014423480792849096,0.09280157160362099,-0.0025130229026944246,-0.06307199388577107,0.05804594808038223,0.026549463916228793,-0.031254586083183516,0.0843535139156411,0.3082113390216954,0.17779464052943328,0.43862803751395757,0.013744023210837147,-0.027125961872760097,0.05461400829443439,9968,0.08770474257407629,-0.005212137767011404,0.18062162291516398,0.0013557500441898703,-0.055689017257336264,0.058400517345716,0.07075587209901554,0.0032515577805581897,0.13826018641747292,0.04083836270478386,-0.020958488799980305,0.10263521420954803,0.247941929563388,0.06845212222927313,0.4274317368975029,-0.024823134349126526,-0.0707707079417383,0.021124439243485244,9968,-0.1090823161974245,-0.21303764963328709,-0.005126982761561941,0.057642182230195384,0.007004495233270844,0.10827986922711992,-0.021496631130915298,-0.10117622475256915,0.05818296249073856,0.04930346213422466,-0.00380545742653775,0.10241238169498706,0.5467794726477021,0.4140642492258878,0.6794946960695164,-0.0072461416067144315,-0.07679692349813483,0.06230464028470597,9968
6,0.0036644533016158454,-0.1459856938117086,0.1533146004149403,-0.012113226290370028,-0.1390007713679888,0.11477431878724875,-0.06891319356896108,-0.22041550625490217,0.08258911911698,-0.04209220297737835,-0.16359797577381457,0.0794135698190579,0.5358791454783955,0.15739391719944393,0.9143643737573471,0.2602247541935357,0.07854324143694211,0.44190626695012925,3300,0.0628285016227753,-0.09601797654751988,0.2216749797930705,0.03934849832492414,-0.0740696318128163,0.1527666284626646,0.01905346998920389,-0.1039124724508562,0.14201941242926397,0.0425923505390626,-0.07743959554914756,0.16262429662727276,0.090928184433017,-0.16954557305957046,0.3514019419256045,0.0660637001006099,-0.008686063137098021,0.14081346333831782,3300,-0.04705350222034295,-0.20539619155617006,0.11128918711548418,0.018325700138757985,-0.080908394555163,0.11755979483267896,-0.026789331773136874,-0.1403975644941153,0.08681890094784157,-7.504018486834042e-4,-0.115501948906005,0.11400114520863817,0.31396783653803134,0.019150318762120293,0.6087853543139424,0.041395653620370704,-0.031171466583464605,0.11396277382420601,3300,0.15099094845365366,0.014206283636104988,0.2877756132712023,-0.044935655426437564,-0.17092160229265038,0.08105029143977527,0.10841850378748347,0.007038870751392562,0.20979813682357437,0.056163601269593653,-0.0775730607185936,0.1899002632577809,0.17958326823971357,-0.07096185568506151,0.43012839216448867,-0.02496787731773752,-0.09399080087914587,0.044055046243670834,3300,0.13225996007108812,-0.05972971770360541,0.32424963784578165,-0.029896683455683467,-0.17775960510424194,0.117966238192875,-0.10424730452306634,-0.3161592670286438,0.10766465798251111,-0.11610031154619192,-0.30115554694075947,0.06895492384837563,0.3615099123213317,-0.1657104404774955,0.8887302651201588,0.04358725396175788,-0.09734386187577102,0.1845183697992868,3300
7,0.06884594348127873,-0.08681915015835523,0.2245110371209127,0.1198617348079091,-0.01097447315349706,0.25069794276931523,0.07221302628649265,-0.056282678937141804,0.2007087315101271,0.013637903106108195,-0.1353670204653656,0.16264282667758204,0.20199721570172616,-0.12867888297499544,0.5326733143784478,0.05998555777211324,-0.05170792520377322,0.17167904074799972,2081,0.11865784516185826,-0.03279670008523672,0.27011239040895324,0.1753601622232203,0.07123873847505374,0.27948158597138684,0.0929877835285387,-0.02776687724387075,0.21374244430094816,0.08673274438201252,-0.028165433009891036,0.20163092177391606,0.3419882723677699,0.12818667425600644,0.5557898704795333,-0.10944263237668862,-0.2982361928590333,0.07935092810565607,2081,-0.06878865554223529,-0.21777834499257773,0.08020103390810715,0.08431652633357874,-0.01930750448632426,0.18794055715348174,-0.03518299520850512,-0.14944194874814112,0.07907595833113087,-0.003070628525321079,-0.10934137757455108,0.10320012052390892,0.3112717636136588,0.06919495495937096,0.5533485722679468,-0.019761718045838494,-0.12647243425036658,0.08694899815868959,2081,-0.1558211148514978,-0.2996673712823673,-0.01197485842062826,-0.10016121212405786,-0.21866927860635102,0.018346854358235284,-0.07416797583080942,-0.1833597853229687,0.035023833661349875,-0.1057000347728297,-0.23169865419500232,0.02029858464934291,0.09934393176103488,-0.14444195501302992,0.34312981853509966,0.052864320797490406,-0.04893419181541433,0.15466283341039513,2081,-0.008109803754606388,-0.18648748353385078,0.17026787602463803,0.24531126084936905,0.1172206831052207,0.3734018385935174,0.1671307756598032,0.04566569193715324,0.2885958593824532,0.10591573576242722,-0.023837270346103886,0.23566874187095832,0.1443875386112775,-0.1657101570332476,0.4544852342558026,-0.10768039670247138,-0.2175555436963943,0.0021947502914515388,2081
8,0.014237696912841638,-0.09920627555977307,0.12768166938545636,0.016557579196009933,-0.07376615317967826,0.10688131157169813,0.019782987026851953,-0.07853689041141718,0.11810286446512108,0.027125098241014327,-0.07203143681919731,0.12628163330122597,0.15329080779822168,-0.09100482066205297,0.3975864362584964,0.1353755691472114,0.07387234405205974,0.1968787942423631,5672,0.00428029360386316,-0.09907503227129776,0.10763561947902407,0.0344028734264747,-0.05295664672043275,0.12176239357338214,0.03389904623065035,-0.0491160281838719,0.1169141206451726,0.02136102331926275,-0.07545236705665354,0.11817441369517905,0.10493379445241788,-0.06968549907013757,0.27955308797497336,0.03142100631352851,-0.02802777385207634,0.09086978647913335,5672,-0.04661478887075667,-0.15825142647006768,0.06502184872855432,0.04624369485678037,-0.033795429717784195,0.12628281943134495,-0.02206114405335291,-0.11652163992341215,0.07239935181670633,0.04218771103911028,-0.04232234372181904,0.1266977658000396,0.3132807305735434,0.033419595790243256,0.5931418653568435,-0.01666933568431584,-0.07374561123916129,0.0404069398705296,5672,0.04107553002080411,-0.08176928137295089,0.1639203414145591,0.005665719175682172,-0.07532442632615184,0.08665586467751618,-0.030642582700921663,-0.14878154850499467,0.08749638310315136,-0.003664731540526385,-0.07739909522261636,0.07006963214156357,0.5948256175295846,0.3342966319211215,0.8553546031380478,0.032065534637526046,-0.0691077790026775,0.13323884827772958,5672,0.08610177061041681,-0.032442291171779616,0.20464583239261325,0.07959229848075136,-0.0073496482322797,0.16653424519378243,0.04964420243378408,-0.0566797732149304,0.15596817808249858,0.021627597685120237,-0.06901738341473374,0.11227257878497421,0.3881322441481507,0.17225181046863722,0.6040126778276642,-0.10009574104121603,-0.18121246012606257,-0.018979021956369482,5672
9,-0.03398495616343318,-0.13741531709000404,0.0694454047631377,-0.018258528088143895,-0.09256285469170171,0.05604579851541392,-2.0318572083638002e-4,-0.07964017738897763,0.07923380594730486,-0.04375292470543536,-0.1371692627566555,0.04966341334578478,0.08726402210879115,-0.20128071052126842,0.3758087547388507,0.1080426046483865,0.0504163871212552,0.1656688221755178,7248,-0.005140347122972234,-0.1106158735322401,0.10033517928629564,-0.04491214603516059,-0.10700840069772286,0.01718410862740168,-0.06306944325079028,-0.14735488235569377,0.021215995854113212,-0.0667546195300543,-0.1472008211074091,0.013691582047300513,0.3678610799850014,0.1070973244237653,0.6286248355462375,0.09671334017439398,0.006812852703882724,0.18661382764490525,7248,0.032898919783351,-0.09271604164183292,0.1585138812085349,0.03033714374328437,-0.040853293182465486,0.10152758066903422,-0.08811942012780169,-0.1899821239799064,0.01374328372430303,-0.01416471859055122,-0.08329611989364136,0.05496668271253892,0.5684231932786802,0.3566016691035853,0.780244717453775,0.00396638813783933,-0.08823515175352696,0.09616792802920561,7248,-0.018555392266207036,-0.1228546448874128,0.08574386035499873,-0.054075290001601405,-0.14045050901951475,0.03229992901631194,-0.03625804475531233,-0.15513628357932122,0.08262019406869656,0.004795891432571561,-0.10294643786240387,0.112538220727547,0.30040497847539727,-0.43267158927329485,1.0334815462240894,0.025700156472383575,-0.0514027522048878,0.10280306514965495,7248,-0.002051564425412444,-0.10128074285396764,0.09717761400314275,0.03125696187784755,-0.0447584264352982,0.10727235019099329,-0.043812671123837424,-0.1243708738598336,0.03674553161215875,-0.02703899477910005,-0.11778021411216215,0.06370222455396203,0.23645191930103843,0.08562766194250364,0.3872761766595732,-0.08388720108813959,-0.14754904685366227,-0.020225355322616892,7248
10,0.9695985098936342,0.8188831892291283,1.12031383055814,-0.4573368198593795,-1.7966564174285566,0.8819827777097977,0.8585015453487463,-0.280606448491789,1.9976095391892816,-0.12082076469961361,-0.65497680830048155,0.4133352789012543,1.112273656289152,0.5539620222253627,1.6705852903529412,-1.0583262023379585,-1.2898955979813613,-0.8267568066945556,428,0.4415846390984904,-0.2811648977327634,1.164334175929744,0.15451953674721539,-0.2053423677986212,0.514381441293052,0.1435439037306137,-0.1353889071879014,0.4224767146491288,0.2451983937835003,-0.18147560832035803,0.6718723958873587,0.08567299848452543,-0.28104901180547864,0.4523950087745295,0.02213919070112049,-0.34011675319420903,0.38439513459644997,428,0.67251134905083,-0.46472657496884173,1.8097492730705018,0.240844317977441,-0.08833579332335359,0.5700244292782356,0.4484696293775779,-0.3779514739353745,1.2748907326905303,0.3103049023639288,-0.10586708045327643,0.7264768851811341,0.600622315589898,-0.08407871848224979,1.2853233496620458,-3.0360136669618347,-40.29405748064166,34.22203014671799,428,0.04584011826667415,-0.31414391160908295,0.4058241481424313,0.054151201230516643,-0.3101793267859404,0.4184817292469737,0.0032772196595691992,-0.27411173322604143,0.28066617254517984,-0.12235647928661456,-0.7317670659174469,0.4870541073442177,0.12020726612749683,-0.46164236346148535,0.702056895716479,0.062034044849756796,-0.555350171198931,0.6794182608984447,428,0.340576819698953,-0.4801430433172212,1.1612966827151272,0.21093503605188743,-0.15450995370401863,0.5763800258077935,0.4489179943167506,-0.21875153247861476,1.116587521112116,0.05983919500289216,-0.29246606362347766,0.41214445362926194,0.8171837037775975,0.3780355190914308,1.2563318884637642,-0.9557688306059173,-4.709434855405638,2.7978971941938036,428
