stateName,Model,Type,Traits,agr_rt.cl,agr_rt.cl.lb,agr_rt.cl.ub,cns_rt.cl,cns_rt.cl.lb,cns_rt.cl.ub,ext_rt.cl,ext_rt.cl.lb,ext_rt.cl.ub,neu_rt.cl,neu_rt.cl.lb,neu_rt.cl.ub,opn_rt.cl,opn_rt.cl.lb,opn_rt.cl.ub,agr,cns,ext,neu,opn
Mecklenburg-Western Pomerania,CLPM,Latent,All,0.097292107904048,-0.00227007320877934,0.196854289016875,-0.0370092985536623,-0.138623748660239,0.0646051515529149,-0.00586539051095128,-0.113812145824856,0.102081364802953,0.0106700467586959,-0.0429599381146059,0.0643000316319977,0.0259261005839724,-0.0880256368065397,0.139877837974484,No,No,No,No,No
Saxony,CLPM,Latent,All,0.0396800731564419,0.00749492653825565,0.0718652197746281,-0.0379919532136979,-0.0736665916430754,-0.00231731478432032,-0.00530117831606106,-0.0437486553995639,0.0331462987674417,-0.00828594460241834,-0.0325016043027892,0.0159297150979524,0.0169596751642461,-0.0238683654617346,0.0577877157902267,No,No,No,No,No
Saxony-Anhalt,CLPM,Latent,All,0.016208559238824,-0.0256466748091747,0.0580637932868227,-0.00874034021663632,-0.0512095223604387,0.033728841927166,-0.0414365007638958,-0.0901105226802248,0.00723752115243325,-0.0175794773210751,-0.0481716002240666,0.0130126455819164,0.0492373919845325,-0.00981130412347831,0.108286088092543,No,No,No,No,No
Thuringia,CLPM,Latent,All,0.0121265102987882,-0.0389697107507545,0.0632227313483309,0.0064907896980314,-0.0418106146899062,0.054792194085969,-0.0691276682538625,-0.131807696887789,-0.00644763961993606,-0.014262253561004,-0.0442686037280789,0.0157440966060709,0.0574495085086205,-0.0139326574371404,0.128831674454381,No,No,No,No,No
Schleswig-Holstein,RICLPM,Latent,All,-0.58050577257908,-3.56713925260622,2.40612770744806,-0.328211429783902,-1.08632045716228,0.429897597594479,1.57644968420038,-3.85366527757867,7.00656464597944,0.385786630716041,-0.3602013356348,1.13177459706688,-0.831622106060378,-3.31498181730264,1.65173760518188,Yes,Yes,Yes,Yes,Yes
Hamburg,RICLPM,Latent,All,-0.214099836956152,-0.764385887485669,0.336186213573364,-0.133475582777503,-0.652883623410683,0.385932457855677,0.0113943232206965,-0.568315302456814,0.591103948898207,0.271371503894133,-0.202540801776824,0.745283809565089,0.135943759323461,-0.194310223045108,0.46619774169203,Yes,Yes,Yes,Yes,Yes
Lower Saxony,RICLPM,Latent,All,0.0628774345756043,-0.161230640891621,0.28698551004283,-0.0516597662804922,-0.268524753699755,0.165205221138771,-0.0527085356569958,-0.229022539639315,0.123605468325323,0.0467029361620686,-0.0799924191393155,0.173398291463453,0.0168837649952339,-0.173014696615587,0.206782226606055,No,No,No,No,No
Bremen,RICLPM,Latent,All,-1.82762798246137,NA,NA,0.165949202128137,NA,NA,-0.93306481196366,NA,NA,-0.255817621114773,NA,NA,2.83831559043315,NA,NA,Yes,Yes,Yes,Yes,Yes
North Rhine-Westphalia,RICLPM,Latent,All,0.0995959444418245,-0.0323570651239396,0.231548954007589,-0.126007094156065,-0.249605284140511,-0.00240890417162011,0.0427606963230939,-0.0851783087588956,0.170699701405084,0.0880810842483488,0.00895312773865957,0.167209040758038,-0.0415586603661674,-0.17228415630961,0.0891668355772754,No,No,No,No,No
Hesse,RICLPM,Latent,All,0.214299878473221,-1.06973864295963,1.49833839990607,-0.188175610824147,-1.37001334044545,0.993662118797151,0.360471123259848,-0.730793718046507,1.4517359645662,0.253189937154561,-0.312464008831527,0.818843883140648,-0.451754430713557,-1.61426995454482,0.710761093117701,No,No,No,No,No
Rhineland-Palatinate,RICLPM,Latent,All,0.0320193348081461,-0.19194543131122,0.255984100927512,0.0670772140739663,-0.142832553657092,0.276986981805024,-0.295285950140637,-0.488269633801087,-0.102302266480187,-0.0849575242787984,-0.199517549165501,0.0296025006079039,0.359257992314012,0.17905623119192,0.539459753436103,No,No,No,No,No
Baden-Wuerttemberg,RICLPM,Latent,All,-0.0025843482678726,-0.164950498192404,0.159781801656658,0.044944335551336,-0.0858677626013205,0.175756433703993,-0.0893862417084176,-0.255796995328175,0.0770245119113396,-0.0440048237625966,-0.164662981095945,0.0766533335707513,0.076285739668167707,-0.0771801186006754,0.229751597937011,No,No,No,No,No
Bavaria,RICLPM,Latent,All,0.11224187061319,-0.0947548413578625,0.319238582584242,-0.100833872577244,-0.286240864173152,0.0845731190186645,-0.163718855397566,-0.357178199718584,0.0297404889234511,-0.0449238954972656,-0.181573082837275,0.0917252918427433,0.0607704467432163,-0.127477682006766,0.249018575493198,No,No,No,No,No
Berlin,RICLPM,Latent,All,0.141996815060358,-0.27795457849432,0.561948208615036,-0.266293918337578,-0.549871495684513,0.0172836590093563,0.145717543911021,-0.401238671440267,0.69267375926231,0.137530563559211,-0.217714275206933,0.492775402325354,-0.130863660445451,-0.665453614980854,0.403726294089953,Yes,Yes,Yes,Yes,Yes
